Car_ID,Brand,Model,Car_Type,Year,Fuel_Type,Transmission,Mileage,Engine_cc,Power_HP,Seats,Color,Price_INR,Condition,Owner_Type,Insurance_Status,Registration_City,Service_History,Accident_History,Car_Availability
36,Mercedes,E-Class,Sedan,2023,EV,Manual,15.28,1866,195,8,Red,851171,New,3rd,Expired,New Josephshire,No,No,Sold
37,Tata,Nexon EV,EV,2014,EV,Manual,15.09,2386,349,4,Silver,3271794,Used,3rd,Expired,New Brian,No,No,Sold
38,Volkswagen,ID.4,EV,2024,Diesel,Manual,13.34,3428,55,8,Black,2482500,New,2nd,Valid,Lake Tiffany,Yes,No,Available
39,Mahindra,XUV700,SUV,2023,Petrol,Manual,19.39,4337,107,5,Blue,2502456,New,3rd,Expired,Shawnshire,Yes,Yes,Available
40,Skoda,Kodiaq,SUV,2010,CNG,Manual,16.8,4314,269,4,Red,1939854,Used,2nd,Valid,North Nancytown,Yes,No,Available
41,Mahindra,Marazzo,MPV,2015,Diesel,Automatic,24.51,4766,390,7,Black,2018009,Used,3rd,Valid,Amyhaven,Yes,Yes,Sold
42,Audi,Q5,SUV,2018,Petrol,Manual,13.52,1485,244,5,Green,1495877,Used,3rd,Expired,East Johnchester,No,No,Sold
43,Toyota,Innova Crysta,MPV,2006,EV,Manual,20.91,2709,123,8,White,2330395,New,2nd,Expired,Claudiatown,No,Yes,Sold
44,Hyundai,i10,Hatchback,2007,Diesel,Automatic,10.12,4142,257,5,Red,4646881,New,2nd,Expired,Richmondport,No,Yes,Available
45,Mercedes,C-Class Coupe,Coupe,2020,Diesel,Automatic,21.51,881,435,8,Silver,1275013,Used,2nd,Valid,Amyhaven,No,Yes,Sold
46,Skoda,Kushaq,SUV,2024,EV,Automatic,21.49,3867,105,8,Blue,3381597,New,3rd,Expired,North Nancystad,No,Yes,Sold
47,Skoda,Scala,Hatchback,2021,EV,Automatic,21.95,2793,251,4,Blue,1333627,Used,3rd,Expired,Velazquezmouth,No,No,Available
48,Honda,Odyssey,MPV,2008,EV,Manual,17.18,4654,146,8,Red,1736869,Used,2nd,Valid,West Michaelfurt,No,No,Sold
49,Skoda,Enyaq,EV,2015,EV,Automatic,17.05,4997,450,4,Silver,4250904,New,2nd,Valid,Port Nicolefurt,Yes,Yes,Sold
50,Ford,Tourneo,MPV,2009,CNG,Manual,21.56,3359,165,4,Blue,4573243,Used,3rd,Valid,South Monica,No,No,Available
51,Audi,A5 Cabriolet,Convertible,2017,Diesel,Automatic,12.57,1651,107,5,Black,3179725,New,1st,Expired,New Josephshire,No,Yes,Available
52,Ford,Figo,Hatchback,2009,Petrol,Manual,12.57,4194,345,5,Red,4213814,New,2nd,Expired,North Nancystad,Yes,No,Available
53,Nissan,Micra,Hatchback,2023,Petrol,Manual,23.38,2368,347,8,Silver,1097109,Used,3rd,Expired,Lake Katherine,No,Yes,Available
54,Maruti,WagonR EV,EV,2017,Petrol,Manual,12.09,1871,368,5,White,3476064,New,1st,Expired,South Nicholas,No,No,Available
55,MG,ZS EV Hatch,Hatchback,2017,CNG,Manual,11.53,2018,252,5,White,1869585,New,2nd,Expired,Port Mia,No,Yes,Available
56,Ford,Figo,Hatchback,2006,Petrol,Manual,24.51,3337,317,2,Green,4225519,New,2nd,Expired,Port Nicolefurt,No,No,Sold
57,Toyota,bZ4X,EV,2010,Petrol,Automatic,12.99,1690,65,2,Black,1809127,Used,1st,Valid,Port Mia,No,Yes,Available
58,Audi,A3,Sedan,2012,CNG,Automatic,23.32,3983,265,7,Blue,1641359,New,3rd,Expired,Lake Katherine,Yes,Yes,Sold
59,MG,ZS EV,SUV,2022,CNG,Manual,13.65,4567,322,4,Red,4476656,Used,1st,Valid,Baldwinhaven,Yes,No,Available
60,Ford,Mustang Mach-E,EV,2010,EV,Manual,20.06,2361,116,5,Silver,266826,New,1st,Expired,West Michaelfurt,No,No,Available
61,Mercedes,C-Class Coupe,Coupe,2019,Diesel,Manual,22.86,849,380,4,White,3611913,Used,3rd,Valid,South Monica,No,Yes,Sold
62,Kia,EV6,EV,2025,Petrol,Manual,22.48,2153,252,7,Red,807862,Used,3rd,Valid,Claudiatown,Yes,Yes,Sold
63,MG,ZS EV Hatch,Hatchback,2020,EV,Automatic,23.19,1415,287,2,Grey,899034,Used,1st,Expired,Velazquezmouth,Yes,Yes,Sold
64,Volkswagen,T-Roc,SUV,2006,Petrol,Manual,22.96,2119,100,8,Red,1595586,New,2nd,Expired,Lake Katherine,No,No,Sold
65,Toyota,Glanza,Hatchback,2014,Petrol,Manual,14.12,3833,252,7,Green,3319090,Used,2nd,Valid,Hallport,No,No,Sold
66,Hyundai,Staria,MPV,2005,Petrol,Manual,13.94,1506,429,5,Grey,3043209,Used,2nd,Valid,South Carloshaven,Yes,Yes,Available
67,BMW,5 Series,Sedan,2021,CNG,Manual,24.35,3065,433,5,Green,2408160,New,3rd,Expired,Sarafort,Yes,No,Sold
68,Mahindra,Marazzo,MPV,2010,CNG,Manual,20.22,3061,155,7,Blue,4290114,Used,1st,Expired,South Nicholas,No,Yes,Available
69,Toyota,bZ4X,EV,2019,CNG,Manual,20.09,3501,250,4,Blue,4058346,New,1st,Valid,South Carloshaven,Yes,Yes,Available
70,Mercedes,EQC,EV,2015,EV,Automatic,15.23,1065,315,4,Silver,4633179,Used,1st,Valid,West Michaelfurt,No,Yes,Available
71,Audi,Q5,SUV,2008,EV,Automatic,19.09,2381,430,4,Black,868747,Used,1st,Valid,Baldwinhaven,Yes,Yes,Sold
72,Maruti,Ertiga,MPV,2021,CNG,Automatic,21.05,3889,124,8,Red,546012,Used,1st,Expired,West Jennifer,Yes,No,Available
73,Hyundai,Aura,Sedan,2015,Diesel,Manual,21.23,3647,135,4,Grey,4075306,Used,3rd,Valid,South Carloshaven,Yes,Yes,Available
74,Nissan,Leaf,EV,2024,CNG,Manual,24.31,1869,116,4,Black,2220351,Used,3rd,Expired,Lake Tiffany,No,Yes,Available
75,Honda,Odyssey,MPV,2008,EV,Automatic,14.77,2735,341,8,White,546021,Used,1st,Valid,New Michelleshire,No,No,Available
76,MG,ZS EV,SUV,2012,Petrol,Manual,13.29,2871,346,7,Grey,4039780,Used,2nd,Expired,Port Mia,No,Yes,Available
77,MG,ZS EV Hatch,Hatchback,2012,Petrol,Automatic,20.06,3295,278,8,Blue,4254355,New,3rd,Expired,North Nancytown,No,No,Sold
78,Nissan,Micra,Hatchback,2009,EV,Automatic,13.63,3219,168,4,Blue,354263,New,1st,Valid,Lesterstad,No,No,Sold
79,Volkswagen,Tiguan,SUV,2019,EV,Manual,11.51,1383,333,7,Black,1132033,Used,2nd,Expired,Richmondport,No,No,Sold
80,Renault,KWID,Hatchback,2023,CNG,Manual,12.18,3112,238,4,Silver,2737135,Used,1st,Expired,South Monica,Yes,Yes,Sold
81,Nissan,Leaf,EV,2011,Diesel,Automatic,23.31,3858,253,2,Blue,3295402,New,3rd,Valid,Jennifermouth,Yes,Yes,Available
82,Honda,CR-V,SUV,2016,Diesel,Manual,17.61,4202,52,5,Grey,4117350,Used,3rd,Expired,South Michaelmouth,No,Yes,Sold
83,Nissan,Micra,Hatchback,2007,EV,Manual,17.78,3417,125,7,Grey,1590535,New,3rd,Valid,Velazquezmouth,No,No,Available
84,Volkswagen,Vento,Sedan,2025,EV,Manual,15.9,3808,69,2,Green,2426079,New,3rd,Valid,North Nancystad,Yes,No,Sold
85,BMW,4 Series,Coupe,2021,Petrol,Manual,21.99,3785,99,2,Blue,2379183,Used,1st,Expired,North Nancytown,Yes,No,Sold
86,Kia,EV6,EV,2013,Diesel,Automatic,22.15,3080,402,4,Black,697341,New,3rd,Expired,Jennifermouth,Yes,No,Sold
87,Mahindra,Thar,SUV,2018,CNG,Automatic,19.83,877,420,4,Green,2256498,Used,1st,Valid,Lake Katherine,Yes,Yes,Sold
88,Hyundai,Kona Electric,EV,2015,CNG,Automatic,14.55,1412,233,8,Silver,4053288,Used,1st,Valid,South Carloshaven,No,No,Sold
89,Ford,EcoSport,SUV,2005,CNG,Manual,16.71,4278,427,8,Black,3045857,New,3rd,Expired,Velazquezmouth,No,Yes,Sold
90,Nissan,Leaf,EV,2024,CNG,Automatic,15.12,3563,370,2,Black,2220210,Used,1st,Valid,New Michelleshire,Yes,No,Available
91,Skoda,Kushaq,SUV,2019,CNG,Automatic,23.47,833,248,7,Red,4930522,New,2nd,Valid,Lake Krista,Yes,No,Sold
92,Maruti,WagonR EV,EV,2024,Petrol,Manual,10.73,1270,248,2,Green,2410480,New,2nd,Expired,South Monica,Yes,No,Available
93,Maruti,Ertiga,SUV,2018,Diesel,Automatic,13.62,2471,79,5,Blue,2849501,Used,3rd,Expired,Shawnshire,No,No,Available
94,Skoda,Enyaq,EV,2021,CNG,Manual,17.84,1734,169,8,White,4884132,New,3rd,Expired,East Johnchester,No,Yes,Sold
95,Mercedes,E-Class Cabriolet,Convertible,2007,EV,Manual,11.75,1532,250,8,White,2697845,Used,1st,Expired,South Nicholas,No,Yes,Sold
96,Renault,Triber,Sedan,2013,Petrol,Manual,23.93,3727,141,4,White,760655,Used,3rd,Expired,Lake Ashleyside,Yes,No,Sold
97,Kia,EV6,EV,2006,Diesel,Manual,17.68,1765,340,4,Grey,3267868,New,1st,Valid,Shawnshire,No,Yes,Sold
98,Nissan,Leaf,EV,2016,Diesel,Automatic,17.14,4497,163,4,Blue,232967,Used,3rd,Valid,West Michaelfurt,No,Yes,Available
99,Audi,A4,Sedan,2011,Diesel,Manual,20.75,4738,235,2,White,4395699,New,3rd,Valid,South Michaelmouth,No,No,Available
100,Hyundai,Venue,SUV,2009,Diesel,Automatic,19.2,2260,193,7,Black,4835471,New,3rd,Valid,Stephaniemouth,Yes,No,Available
101,Honda,Jazz,Hatchback,2005,Diesel,Automatic,16.05,2920,153,8,Red,652620,Used,2nd,Expired,Stephaniemouth,No,Yes,Sold
102,Kia,Picanto,Hatchback,2022,EV,Automatic,20.76,1934,96,8,Black,2877401,New,2nd,Valid,Graybury,No,No,Available
103,Tata,Tigor,Sedan,2011,CNG,Manual,11.75,4142,179,8,Grey,1298033,New,3rd,Valid,South Michaelmouth,Yes,Yes,Available
104,Tata,Tigor,Sedan,2010,EV,Manual,24.94,4777,238,4,Green,2773699,Used,3rd,Valid,Scottfurt,Yes,No,Available
105,Volkswagen,Vento,Sedan,2019,Petrol,Manual,17.13,3255,100,7,Blue,1281576,Used,3rd,Expired,Scottfurt,Yes,Yes,Sold
106,Volkswagen,Vento,Sedan,2017,EV,Manual,22.85,1118,307,8,Grey,2624104,Used,1st,Valid,South Carloshaven,Yes,Yes,Sold
107,Skoda,Enyaq,EV,2012,EV,Automatic,22.73,2997,162,7,White,2002338,Used,3rd,Valid,North Gina,Yes,Yes,Available
108,Nissan,Rogue,SUV,2023,Petrol,Automatic,17.42,2818,292,2,White,3122394,Used,2nd,Expired,North Victoriahaven,Yes,No,Sold
109,Honda,WR-V,SUV,2020,Diesel,Manual,20.24,3388,79,7,Blue,4694023,Used,3rd,Valid,North Mary,No,No,Available
110,Toyota,Glanza,Hatchback,2016,CNG,Manual,21.07,3920,246,5,Black,245095,Used,3rd,Expired,West Jennifer,No,Yes,Available
111,MG,ZS EV Hatch,Hatchback,2006,Petrol,Manual,12.76,1383,64,8,Green,3214672,Used,2nd,Expired,New Michelleshire,Yes,No,Sold
112,Kia,EV6,EV,2017,Diesel,Automatic,20.66,4876,314,8,Red,3031674,New,3rd,Valid,North Nancytown,Yes,No,Available
113,Mercedes,C-Class,Sedan,2016,CNG,Automatic,22.72,2581,138,7,Grey,2094158,New,3rd,Expired,Robertschester,Yes,Yes,Available
114,Maruti,WagonR EV,EV,2022,EV,Manual,11.86,2534,366,7,Black,3197547,New,1st,Expired,Claudiatown,No,No,Available
115,Audi,e-tron,EV,2018,Petrol,Automatic,23.56,3973,266,8,Grey,1742577,New,2nd,Valid,Sarafort,No,Yes,Available
116,Volkswagen,Golf,Hatchback,2013,Petrol,Manual,24.71,897,397,5,Grey,1748962,Used,1st,Expired,Claudiatown,No,Yes,Sold
117,Maruti,Baleno,Hatchback,2023,Diesel,Automatic,21.31,3519,252,7,Green,4882339,Used,3rd,Valid,Jennifermouth,No,No,Available
118,Toyota,bZ4X,EV,2017,EV,Manual,21.88,2234,209,8,Grey,2537306,New,2nd,Expired,North Nancytown,Yes,No,Available
119,BMW,Z4,Convertible,2006,Diesel,Automatic,15.79,3027,266,5,Green,481847,New,2nd,Valid,West Ashleyside,Yes,Yes,Available
120,Audi,A3,Sedan,2013,Diesel,Automatic,22.18,2613,106,5,Blue,2502632,Used,1st,Expired,Robertschester,Yes,No,Available
121,Kia,EV6,EV,2019,CNG,Manual,10.51,4499,449,5,Grey,2158399,New,1st,Valid,East Johnchester,Yes,No,Available
122,Volkswagen,T-Roc,SUV,2012,EV,Manual,10.3,3483,104,2,Green,1709422,Used,3rd,Expired,New Billymouth,Yes,Yes,Sold
123,Ford,Tourneo,MPV,2018,Diesel,Manual,15.78,4416,370,2,Green,2303801,Used,2nd,Expired,Port Rickyshire,No,Yes,Sold
124,Tata,Nexon,SUV,2020,EV,Manual,13.63,1278,85,7,Red,1690334,New,2nd,Valid,West Michaelfurt,No,No,Available
125,Mercedes,C-Class Coupe,Coupe,2009,Petrol,Manual,18.77,4883,129,2,White,2205560,New,2nd,Valid,Richmondport,Yes,No,Available
126,Hyundai,Kona Electric,EV,2007,Petrol,Automatic,11.26,2341,271,4,Silver,3994812,New,3rd,Expired,North Nancytown,Yes,No,Sold
127,MG,ZS EV Hatch,Hatchback,2018,CNG,Automatic,10.79,2608,89,7,Blue,1968357,Used,1st,Expired,Lesterstad,No,Yes,Available
128,BMW,3 Series,Sedan,2017,Diesel,Manual,19.26,1614,189,4,Red,3642668,New,3rd,Valid,Port Nicolefurt,No,Yes,Sold
129,Hyundai,Staria,MPV,2009,EV,Manual,20.86,4344,444,4,Green,4776991,New,3rd,Expired,Baldwinhaven,No,No,Sold
130,Audi,Q3,SUV,2006,Petrol,Manual,24.99,3968,57,8,Black,4866680,New,1st,Valid,New Brian,No,Yes,Available
131,Tata,Tigor EV,EV,2014,CNG,Automatic,10.99,1100,186,8,Black,2447251,Used,3rd,Valid,Velazquezmouth,No,Yes,Sold
132,Mahindra,Marazzo,MPV,2013,Petrol,Manual,13.61,4607,282,7,Silver,4600342,Used,2nd,Valid,Arnoldmouth,No,Yes,Sold
133,BMW,X5,SUV,2014,Diesel,Automatic,24.97,2415,269,8,Green,4268713,New,1st,Expired,Shawnshire,No,Yes,Sold
134,Mercedes,C-Class Coupe,Coupe,2005,EV,Automatic,17.45,3269,116,2,Green,1194572,Used,1st,Valid,New John,Yes,Yes,Available
135,Kia,Picanto,Hatchback,2005,EV,Manual,18.05,3633,418,5,Red,4606959,New,1st,Valid,North Bethanyville,Yes,Yes,Available
136,Ford,Figo,Hatchback,2019,CNG,Manual,12.66,1821,173,8,White,3040339,New,2nd,Valid,Arnoldmouth,Yes,No,Sold
137,Renault,Duster,SUV,2015,Petrol,Automatic,17.1,1411,202,5,Red,633180,New,3rd,Expired,North Mary,Yes,Yes,Available
138,Tata,Tigor,Sedan,2014,Petrol,Automatic,18.93,1709,136,5,Green,4046632,Used,2nd,Expired,Amyhaven,Yes,No,Available
139,Ford,Fusion,Sedan,2023,CNG,Automatic,14.79,3033,229,7,Silver,243680,New,1st,Expired,New Josephshire,Yes,Yes,Sold
140,Honda,Jazz,Hatchback,2015,Petrol,Automatic,24.4,3972,129,8,Green,933714,New,2nd,Expired,Daniellehaven,No,Yes,Sold
141,Hyundai,Kona Electric,EV,2012,EV,Automatic,13.92,2679,369,2,White,1276286,Used,1st,Expired,Lake Ashleyside,Yes,Yes,Sold
142,Volkswagen,Tiguan,SUV,2021,CNG,Manual,17.17,3712,215,4,Green,2314253,Used,1st,Valid,South Michaelmouth,Yes,Yes,Available
143,Kia,Picanto,Hatchback,2018,EV,Automatic,17.52,1901,271,7,Grey,1080672,New,2nd,Expired,South Michaelmouth,Yes,No,Sold
144,Mercedes,C-Class Coupe,Coupe,2020,EV,Automatic,18.54,1271,266,8,Silver,2363307,Used,3rd,Valid,West Ashleyside,Yes,No,Sold
145,Hyundai,Kona Electric,EV,2011,CNG,Automatic,19.64,1794,188,7,Silver,1128440,New,3rd,Valid,Lake Katherine,No,Yes,Sold
146,MG,Hector,SUV,2025,EV,Automatic,14.1,3907,434,8,Green,104477,New,3rd,Valid,South James,Yes,Yes,Available
147,Renault,Kiger,SUV,2008,Diesel,Manual,19.2,1994,176,4,Silver,4319118,New,1st,Valid,South Carloshaven,No,No,Available
148,Mercedes,E-Class Cabriolet,Convertible,2016,CNG,Manual,14.02,1078,351,5,Green,2211821,Used,1st,Expired,South Michaelmouth,Yes,Yes,Sold
149,Volkswagen,Polo,Hatchback,2017,CNG,Automatic,17.31,2866,405,7,Grey,3234235,New,2nd,Expired,Sarafort,No,Yes,Sold
150,Honda,Jazz,Hatchback,2011,EV,Automatic,23.51,4313,261,8,White,1707121,New,1st,Valid,North Nancytown,No,Yes,Sold
151,Ford,Fusion,Sedan,2006,EV,Manual,17.75,3708,339,4,Blue,3341553,New,2nd,Expired,Baldwinhaven,Yes,Yes,Sold
152,Skoda,Kodiaq,SUV,2009,CNG,Automatic,20.12,3505,317,2,Blue,1517792,New,3rd,Valid,South Michaelmouth,No,Yes,Available
153,Renault,Triber,Sedan,2006,CNG,Automatic,12.55,4710,360,7,White,3035766,Used,3rd,Expired,Hallport,Yes,Yes,Available
154,Mercedes,EQC,EV,2008,CNG,Manual,23.71,1113,146,8,White,603681,New,1st,Expired,Sarahside,No,No,Sold
155,MG,ZS EV,SUV,2021,EV,Manual,22.33,2220,418,2,Green,3987374,New,2nd,Valid,Lake Krista,Yes,Yes,Available
156,Mahindra,Marazzo,MPV,2006,CNG,Manual,10.83,4575,70,5,Grey,3557778,New,3rd,Valid,South Carloshaven,Yes,Yes,Sold
157,Maruti,Alto,Hatchback,2006,Diesel,Automatic,24.39,4275,380,4,Red,1645248,New,3rd,Valid,West Isaiah,No,Yes,Available
158,Mahindra,Marazzo,MPV,2023,EV,Manual,10.52,3383,449,7,Grey,3709235,New,1st,Valid,New Josephshire,Yes,Yes,Sold
159,Ford,Figo,Hatchback,2014,CNG,Automatic,13.35,1247,346,5,Black,2863504,New,2nd,Expired,Lake Brian,Yes,No,Sold
160,Mahindra,Marazzo,MPV,2018,CNG,Automatic,15.89,2371,275,8,Red,2760749,New,3rd,Valid,South Nicholas,No,No,Sold
161,Nissan,Leaf,EV,2025,Diesel,Automatic,24.89,4714,420,2,Blue,3380534,New,2nd,Valid,West Isaiah,No,No,Sold
162,Tata,Tiago,Hatchback,2010,Diesel,Automatic,18.72,4936,350,2,Silver,425815,New,1st,Valid,New John,Yes,No,Available
163,Audi,Q3,SUV,2005,Diesel,Manual,21.97,4704,98,4,Silver,1303242,New,2nd,Valid,North Mary,Yes,Yes,Available
164,Honda,WR-V,SUV,2015,EV,Manual,23.76,3044,128,7,Silver,608942,New,3rd,Expired,West Isaiah,No,No,Sold
165,Toyota,bZ4X,EV,2010,Petrol,Manual,16.83,1665,372,7,Black,998141,Used,3rd,Valid,North Victoriahaven,No,No,Available
166,Volkswagen,ID.4,EV,2025,CNG,Manual,24.96,3434,445,2,Blue,4306992,Used,1st,Valid,Jamieberg,No,Yes,Sold
167,Tata,Altroz,Hatchback,2005,EV,Manual,10.37,1140,328,7,Blue,3061257,New,1st,Expired,North Nancystad,Yes,Yes,Sold
168,Mahindra,Scorpio,SUV,2023,CNG,Manual,22.92,3925,170,2,White,3949897,New,3rd,Expired,North Gina,No,Yes,Sold
169,Hyundai,Venue,SUV,2009,Petrol,Automatic,13.59,3384,222,2,Blue,3451899,New,2nd,Valid,Lake Katherine,Yes,Yes,Sold
170,Nissan,Rogue,SUV,2019,CNG,Automatic,17.91,3332,173,8,Grey,4891279,New,2nd,Expired,Stephaniemouth,No,Yes,Sold
171,Honda,WR-V,SUV,2006,Petrol,Automatic,15.94,2668,359,2,Black,636787,New,1st,Expired,Jennifermouth,Yes,Yes,Available
172,Nissan,Micra,Hatchback,2019,EV,Automatic,18.06,4422,268,2,Silver,4649922,New,3rd,Valid,Scottfurt,Yes,No,Available
173,Ford,Aspire,Sedan,2018,EV,Manual,14.92,3733,373,7,Red,3168238,New,3rd,Valid,Jamieberg,No,No,Available
174,Volkswagen,Golf,Hatchback,2022,EV,Automatic,17.47,2257,281,2,Green,1969343,Used,2nd,Expired,South Michaelmouth,Yes,No,Sold
175,Mercedes,E-Class,Sedan,2018,EV,Automatic,13.61,3964,317,8,Grey,778268,New,3rd,Expired,Baldwinhaven,Yes,No,Available
176,Maruti,Dzire,Sedan,2019,EV,Automatic,15.53,4856,146,2,Silver,3001061,New,1st,Expired,North Gina,Yes,Yes,Available
177,Tata,Tigor EV,EV,2020,Petrol,Manual,15.77,4987,377,2,Red,3101946,Used,3rd,Valid,North Nancystad,No,No,Sold
178,Volkswagen,ID.4,EV,2005,CNG,Manual,13.34,4908,51,8,Grey,2465334,New,1st,Valid,New John,Yes,No,Sold
179,Volkswagen,Virtus,Sedan,2007,CNG,Automatic,21.53,1978,384,7,Grey,2245226,New,1st,Expired,New Billymouth,Yes,No,Sold
180,MG,ZS EV,SUV,2006,CNG,Automatic,10.26,4700,277,2,Red,2765989,New,3rd,Expired,New Yolanda,Yes,No,Sold
181,Maruti,Ertiga,MPV,2017,CNG,Manual,11.14,3102,382,2,Green,4488741,Used,3rd,Expired,North Tiffany,No,No,Sold
182,Toyota,Yaris,Sedan,2010,EV,Automatic,10.16,4548,449,4,Red,109671,Used,3rd,Expired,New Yolanda,No,Yes,Available
183,Tata,Nexon,SUV,2008,CNG,Manual,15.03,2458,229,7,Silver,1375621,Used,3rd,Valid,North Mary,Yes,Yes,Available
184,Renault,Triber,Sedan,2008,Diesel,Manual,20.81,3169,325,5,Blue,1288963,Used,1st,Expired,Linburgh,No,No,Available
185,Skoda,Slavia,Sedan,2024,Diesel,Automatic,22.51,4961,92,7,Green,1608456,New,2nd,Expired,Scottfurt,Yes,Yes,Available
186,Tata,Nexon EV,EV,2017,Petrol,Manual,16.68,2556,247,2,Red,3838094,Used,1st,Expired,Robertschester,No,No,Available
187,Audi,Q5,SUV,2006,Petrol,Manual,22.69,1876,396,8,Black,3096473,New,3rd,Expired,Jennifermouth,Yes,No,Sold
